uniprot_id,entry_version,protein_name,full_name,protein_existence,location,evidence,antibodies
A1A4S6,132,RHG10_HUMAN,Rho GTPase-activating protein 10,Experimental evidence at protein level,"Cytoplasm;Cytoplasm,perinuclear region;Cell membrane",ECO:0000250;ECO:0000250;ECO:0000250,"39589,44192,57045,73000"
A1A4V9,107,CF119_HUMAN,Cilia- and flagella-associated protein 119,Experimental evidence at transcript level,"Cell projection,cilium,flagellum;Cytoplasmic vesicle,secretory vesicle,acrosome;Cytoplasm",ECO:0000250;ECO:0000250;ECO:0000250,"41806,46289,75094"
A1A4Y4,124,IRGM_HUMAN,Immunity-related GTPase family M protein,Experimental evidence at protein level,"Golgi apparatus membrane;Cell membrane;Cytoplasmic vesicle,phagosome membrane;Cytoplasmic vesicle,autophagosome membrane;Cell projection,phagocytic cup",ECO:0000250;ECO:0000250;ECO:0000250;ECO:0000250;ECO:0000250,"45548,53782,62815,71311"
A1A519,121,F170A_HUMAN,Protein FAM170A,Experimental evidence at transcript level,Nucleus,ECO:0000269,"37900,37901,37902"
A1A580,88,KR231_HUMAN,Keratin-associated protein 23-1,Experimental evidence at protein level,,,17945
A1A5B4,131,ANO9_HUMAN,Anoctamin-9,Experimental evidence at protein level,Cell membrane,ECO:0000269,"39948,40112"
A1A5C7,122,S22AN_HUMAN,Solute carrier family 22 member 23,Experimental evidence at protein level,Membrane,ECO:0000305,"14697,59089"
A1A5D9,103,BICL2_HUMAN,BICD family-like cargo adapter 2,Experimental evidence at protein level,,,"43251,76530"
A1E959,113,ODAM_HUMAN,Odontogenic ameloblast-associated protein,Experimental evidence at protein level,Secreted;Cytoplasm;Nucleus,ECO:0000250;ECO:0000269;ECO:0000269,"36279,36543,70297,71679"
A1IGU5,108,ARH37_HUMAN,Rho guanine nucleotide exchange factor 37,Experimental evidence at transcript level,,,"43885,53487"
A1KXE4,110,F168B_HUMAN,Myelin-associated neurite-outgrowth inhibitor,Experimental evidence at protein level,"Cytoplasm,perinuclear region;Cell membrane;Cell projection,axon",ECO:0000250;ECO:0000250;ECO:0000250,"43778,61659"
A1KZ92,131,PXDNL_HUMAN,Probable oxidoreductase PXDNL,Experimental evidence at protein level,Secreted;Endoplasmic reticulum;Cell membrane,ECO:0000269;ECO:0000269;ECO:0000269,"7919,8442,73297,78392"
A1L020,114,MEX3A_HUMAN,RNA-binding protein MEX3A,Experimental evidence at protein level,"Cytoplasm;Nucleus;Cytoplasm,P-body",ECO:0000269;ECO:0000269;ECO:0000269,"61259,62703,74756,75159"
A1L0T0,127,HACL2_HUMAN,2-hydroxyacyl-CoA lyase 2,Experimental evidence at protein level,Endoplasmic reticulum membrane,ECO:0000269,"21391,47191,56267,67682,67863,69745"
A1L157,112,TSN11_HUMAN,Tetraspanin-11,Experimental evidence at transcript level,Membrane,ECO:0000305,"56641,66789,75191,77821"
A1L162,101,ERIC2_HUMAN,Glutamate-rich protein 2,Experimental evidence at protein level,,,"56985,61010"
A1L167,114,U2QL1_HUMAN,Ubiquitin-conjugating enzyme E2Q-like protein 1,Experimental evidence at protein level,Nucleus,ECO:0000269,57414
A1L168,85,CT202_HUMAN,Uncharacterized protein C20orf202,Experimental evidence at protein level,,,"42786,63705"
A1L170,111,CA226_HUMAN,Uncharacterized protein C1orf226,Experimental evidence at protein level,,,"27712,52251,64665,71864,74060,79153"
A1L188,94,NDUF8_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,Experimental evidence at protein level,Mitochondrion,ECO:0000269,"48358,57732"
A1L190,104,SYCE3_HUMAN,Synaptonemal complex central element protein 3,Experimental evidence at protein level,Nucleus;Chromosome,ECO:0000250;ECO:0000250,47813
A1L1A6,92,IGS23_HUMAN,Immunoglobulin superfamily member 23,Experimental evidence at transcript level,Membrane,ECO:0000305,"51811,54591"
A1L390,125,PKHG3_HUMAN,Pleckstrin homology domain-containing family G member 3,Experimental evidence at protein level,"Cytoplasm,cytoskeleton",ECO:0000269,"63455,65323,73702,74734"
A1L3X0,126,ELOV7_HUMAN,Elongation of very long chain fatty acids protein 7,Experimental evidence at protein level,Endoplasmic reticulum membrane,ECO:0000255;ECO:0000269,"36337,64539"
A1L429,106,GG12C_HUMAN,G antigen 12B/C/D/E,Experimental evidence at protein level,,,43232
A1L443,96,NTM2F_HUMAN,NUT family member 2F,Experimental evidence at transcript level,,,"64635,73692"
A1L453,102,PRS38_HUMAN,Serine protease 38,Experimental evidence at transcript level,Secreted,ECO:0000305,"28003,55809"
A1L4H1,118,SRCRL_HUMAN,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,Experimental evidence at protein level,Secreted;Cytoplasm,ECO:0000250;ECO:0000250,"42008,53316"
A1L4K1,118,FSD2_HUMAN,Fibronectin type III and SPRY domain-containing protein 2,Experimental evidence at protein level,"Nucleus;Sarcoplasmic reticulum;Cytoplasm,perinuclear region",ECO:0000250;ECO:0000250;ECO:0000250,"46263,48450,59836"
A1L4L8,94,PL8L1_HUMAN,PLAC8-like protein 1,Experimental evidence at transcript level,,,"43139,56218,74164,74266"
A1X283,123,SPD2B_HUMAN,SH3 and PX domain-containing protein 2B,Experimental evidence at protein level,"Cytoplasm;Cell projection,podosome",ECO:0000250;ECO:0000250,"36470,36471,58141"
A1XBS5,114,CBAR1_HUMAN,CBY1-interacting BAR domain-containing protein 1,Experimental evidence at protein level,"Cytoplasm;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriole;Cytoplasm,cytoskeleton,cilium basal body;Cell projection,cilium;Nucleus;Mitochondrion inner membrane",ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000250;ECO:0000269;ECO:0000269,"34760,58942"
A1YPR0,125,ZBT7C_HUMAN,Zinc finger and BTB domain-containing protein 7C,Experimental evidence at transcript level,,,"14382,14433"
A1Z1Q3,116,MACD2_HUMAN,ADP-ribose glycohydrolase MACROD2,Experimental evidence at protein level,Nucleus,ECO:0000269,"49076,54187,65058"
A2A288,116,ZC12D_HUMAN,Probable ribonuclease ZC3H12D,Experimental evidence at protein level,"Cytoplasm,P-body",ECO:0000269,36897
A2A2V5,101,SRTM1_HUMAN,Serine-rich and transmembrane domain-containing protein 1,Experimental evidence at protein level,Membrane,ECO:0000305,"14039,51475,54814,70485"
A2A2Y4,127,FRMD3_HUMAN,FERM domain-containing protein 3,Experimental evidence at protein level,Membrane,ECO:0000305,"17285,59454"
A2A2Z9,100,AN18B_HUMAN,Ankyrin repeat domain-containing protein 18B,Experimental evidence at protein level,,,"46346,46695,49923,51288"
A2A368,94,MAGBG_HUMAN,Melanoma-associated antigen B16,Protein predicted,,,"55743,58567,76456"
A2A3K4,126,PTPC1_HUMAN,Protein tyrosine phosphatase domain-containing protein 1,Experimental evidence at protein level,,,"16747,26832"
A2A3L6,108,TTC24_HUMAN,Tetratricopeptide repeat protein 24,Protein predicted,,,"29797,29798,29799"
A2AJT9,105,BCLA3_HUMAN,BCLAF1 and THRAP3 family member 3,Experimental evidence at protein level,Mitochondrion,ECO:0000305,"27215,75976"
A2CJ06,110,DYTN_HUMAN,Dystrotelin,Experimental evidence at transcript level,Cell membrane,ECO:0000250,55202
A2IDD5,114,CCD78_HUMAN,Coiled-coil domain-containing protein 78,Experimental evidence at protein level,"Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriole;Cytoplasm,perinuclear region;Cell membrane,sarcolemma;Sarcoplasmic reticulum",,"41186,41384,66500,79428,79429"
A2PYH4,132,HFM1_HUMAN,Probable ATP-dependent DNA helicase HFM1,Experimental evidence at protein level,,,"35036,35557,74069"
A2RRD8,128,ZN320_HUMAN,Zinc finger protein 320,Experimental evidence at protein level,Nucleus,ECO:0000305,"43696,62474"
A2RRH5,119,WDR27_HUMAN,WD repeat-containing protein 27,Experimental evidence at protein level,,,"37497,37498,75225"
A2RRL7,95,TM213_HUMAN,Transmembrane protein 213,Protein inferred from homology,Membrane,ECO:0000305,54059
A2RRP1,126,NBAS_HUMAN,NBAS subunit of NRZ tethering complex,Experimental evidence at protein level,Cytoplasm;Endoplasmic reticulum;Endoplasmic reticulum membrane,ECO:0000269;ECO:0000269,"36817,42736"
A2RTX5,134,SYTC2_HUMAN,"Threonine--tRNA ligase 2, cytoplasmic",Experimental evidence at protein level,Cytoplasm;Nucleus,ECO:0000250;ECO:0000250,"63963,66697"
A2RTY3,114,HEAT9_HUMAN,Protein HEATR9,Experimental evidence at protein level,,,"23129,53041"
A2RU14,102,TM218_HUMAN,Transmembrane protein 218,Experimental evidence at protein level,"Membrane;Cell projection,cilium",ECO:0000305;ECO:0000250,38489
A2RU30,113,TESP1_HUMAN,Protein TESPA1,Experimental evidence at protein level,Cytoplasm;Endoplasmic reticulum membrane,ECO:0000269;ECO:0000269,"39668,40144,58823,79222"
A2RU48,98,SMCO3_HUMAN,Single-pass membrane and coiled-coil domain-containing protein 3,Experimental evidence at protein level,Membrane,ECO:0000305,"40574,47804,69212"
A2RU49,125,HYKK_HUMAN,Hydroxylysine kinase,Experimental evidence at protein level,Cytoplasm,ECO:0000305,"40706,40898"
A2RU54,124,HMX2_HUMAN,Homeobox protein HMX2,Experimental evidence at transcript level,Nucleus,ECO:0000255,43379
A2RU67,114,F234B_HUMAN,Protein FAM234B,Experimental evidence at protein level,"Membrane;Golgi outpost;Cytoplasm,cytoskeleton,microtubule organizing center",ECO:0000255;ECO:0000250;ECO:0000250,"10803,10850"
A2RUB1,110,MEIOC_HUMAN,Meiosis-specific coiled-coil domain-containing protein MEIOC,Experimental evidence at transcript level,Cytoplasm;Nucleus,ECO:0000250;ECO:0000250,"23387,27266"
A2RUB6,113,CCD66_HUMAN,Coiled-coil domain-containing protein 66,Experimental evidence at protein level,"Cytoplasm,cytoskeleton,microtubule organizing center,centrosome;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriolar satellite;Cell projection,cilium;Cytoplasm,cytoskeleton,cilium basal body;Photoreceptor inner segment;Cell projection,cilium,photoreceptor outer segment",ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000269,"44185,51937"
A2RUC4,114,TYW5_HUMAN,tRNA wybutosine-synthesizing protein 5,Experimental evidence at protein level,,,"28294,45803,73496"
A2RUH7,126,MBPHL_HUMAN,Myosin-binding protein H-like,Experimental evidence at protein level,"Cytoplasm,myofibril,sarcomere",ECO:0000305,"27623,77273,77633"
A2RUR9,105,C144A_HUMAN,Coiled-coil domain-containing protein 144A,Experimental evidence at transcript level,,,"22996,47220,47851,66260,66716"
A2RUS2,130,DEND3_HUMAN,DENN domain-containing protein 3,Experimental evidence at protein level,Cytoplasm,ECO:0000250,"24491,26100,41668"
A2RUT3,89,TMM89_HUMAN,Transmembrane protein 89,Experimental evidence at transcript level,Membrane,ECO:0000305,53577
