uniprot_id,entry_version,protein_name,full_name,protein_existence,location,evidence,antibodies,loc_eco,loc_eco_comment,loc_exp_evidence,UniProt_final_locations,UniProt_Corresponding_GOTerm,CorrespondingGOTerm_HPA,Corresponding_HPA_location
A1A519,121,F170A_HUMAN,Protein FAM170A,Experimental evidence at transcript level,Nucleus,ECO:0000269,"37900,37901,37902",Nucleus_ECO:0000269,,Nucleus,Nucleus,GO:0005634,GO:0005634,Nucleoplasm
A1A5B4,131,ANO9_HUMAN,Anoctamin-9,Experimental evidence at protein level,Cell membrane,ECO:0000269,"39948,40112",Cell membrane_ECO:0000269,,Cell membrane,Cell membrane,GO:0005886,GO:0005886,Plasma membrane
A1E959,113,ODAM_HUMAN,Odontogenic ameloblast-associated protein,Experimental evidence at protein level,Secreted;Cytoplasm;Nucleus,ECO:0000250;ECO:0000269;ECO:0000269,"36279,36543,70297,71679",Secreted_ECO:0000250;Cytoplasm_ECO:0000269;Nucleus_ECO:0000269,,Cytoplasm;Nucleus,Cytoplasm;Nucleus,GO:0005737;GO:0005634,GO:0005737;GO:0005634,Cytosol;Nucleoplasm
A1KZ92,131,PXDNL_HUMAN,Probable oxidoreductase PXDNL,Experimental evidence at protein level,Secreted;Endoplasmic reticulum;Cell membrane,ECO:0000269;ECO:0000269;ECO:0000269,"7919,8442,73297,78392",Secreted_ECO:0000269;Endoplasmic reticulum_ECO:0000269;Cell membrane_ECO:0000269,,Secreted;Endoplasmic reticulum;Cell membrane,Secreted;Endoplasmic reticulum;Cell membrane,GO:0005576;GO:0005783;GO:0005886,GO:0005783;GO:0005886;GO:0005634,Plasma membrane;Endoplasmic reticulum;Nucleoplasm
A1L020,114,MEX3A_HUMAN,RNA-binding protein MEX3A,Experimental evidence at protein level,"Cytoplasm;Nucleus;Cytoplasm,P-body",ECO:0000269;ECO:0000269;ECO:0000269,"61259,62703,74756,75159","Cytoplasm_ECO:0000269;Nucleus_ECO:0000269;Cytoplasm,P-body_ECO:0000269",,"Cytoplasm;Nucleus;Cytoplasm,P-body",Cytoplasm;Nucleus;P-body,GO:0005737;GO:0005634;GO:0000932,GO:0005737;GO:0036464;GO:0005634,Cytosol;Cytoplasmic bodies;Nucleoplasm
A1L0T0,127,HACL2_HUMAN,2-hydroxyacyl-CoA lyase 2,Experimental evidence at protein level,Endoplasmic reticulum membrane,ECO:0000269,"21391,47191,56267,67682,67863,69745",Endoplasmic reticulum membrane_ECO:0000269,,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,GO:0005789,GO:0005783,Endoplasmic reticulum
A1L167,114,U2QL1_HUMAN,Ubiquitin-conjugating enzyme E2Q-like protein 1,Experimental evidence at protein level,Nucleus,ECO:0000269,57414,Nucleus_ECO:0000269,,Nucleus,Nucleus,GO:0005634,GO:0005634,Nucleoplasm
A1L188,94,NDUF8_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,Experimental evidence at protein level,Mitochondrion,ECO:0000269,"48358,57732",Mitochondrion_ECO:0000269,,Mitochondrion,Mitochondrion,GO:0005739,GO:0005739,Mitochondria
A1L390,125,PKHG3_HUMAN,Pleckstrin homology domain-containing family G member 3,Experimental evidence at protein level,"Cytoplasm,cytoskeleton",ECO:0000269,"63455,65323,73702,74734","Cytoplasm,cytoskeleton_ECO:0000269",,"Cytoplasm,cytoskeleton",cytoskeleton,GO:0005856,GO:0005739,Mitochondria
A1XBS5,114,CBAR1_HUMAN,CBY1-interacting BAR domain-containing protein 1,Experimental evidence at protein level,"Cytoplasm;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriole;Cytoplasm,cytoskeleton,cilium basal body;Cell projection,cilium;Nucleus;Mitochondrion inner membrane",ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000250;ECO:0000269;ECO:0000269,"34760,58942","Cytoplasm_ECO:0000269;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriole_ECO:0000269;Cytoplasm,cytoskeleton,cilium basal body_ECO:0000269;Cell projection,cilium_ECO:0000250;Nucleus_ECO:0000269;Mitochondrion inner membrane_ECO:0000269",,"Cytoplasm;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriole;Cytoplasm,cytoskeleton,cilium basal body;Nucleus;Mitochondrion inner membrane",Cytoplasm;centriole;cilium basal body;Nucleus;Mitochondrion inner membrane,GO:0005737;GO:0005814;GO:0036064;GO:0005634;GO:0005743,GO:0005737;GO:0005739;GO:0015630;GO:0005634,Cytosol;Microtubules;Nucleoplasm;Mitochondria
A1Z1Q3,116,MACD2_HUMAN,ADP-ribose glycohydrolase MACROD2,Experimental evidence at protein level,Nucleus,ECO:0000269,"49076,54187,65058",Nucleus_ECO:0000269,,Nucleus,Nucleus,GO:0005634,GO:0005634,Nucleoplasm
A2A288,116,ZC12D_HUMAN,Probable ribonuclease ZC3H12D,Experimental evidence at protein level,"Cytoplasm,P-body",ECO:0000269,36897,"Cytoplasm,P-body_ECO:0000269",,"Cytoplasm,P-body",P-body,GO:0000932,GO:0036464,Cytoplasmic bodies
A2RU30,113,TESP1_HUMAN,Protein TESPA1,Experimental evidence at protein level,Cytoplasm;Endoplasmic reticulum membrane,ECO:0000269;ECO:0000269,"39668,40144,58823,79222",Cytoplasm_ECO:0000269;Endoplasmic reticulum membrane_ECO:0000269,,Cytoplasm;Endoplasmic reticulum membrane,Cytoplasm;Endoplasmic reticulum membrane,GO:0005737;GO:0005789,GO:0005737;GO:0005783,Cytosol;Endoplasmic reticulum
A2RUB6,113,CCD66_HUMAN,Coiled-coil domain-containing protein 66,Experimental evidence at protein level,"Cytoplasm,cytoskeleton,microtubule organizing center,centrosome;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriolar satellite;Cell projection,cilium;Cytoplasm,cytoskeleton,cilium basal body;Photoreceptor inner segment;Cell projection,cilium,photoreceptor outer segment",ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000269,"44185,51937","Cytoplasm,cytoskeleton,microtubule organizing center,centrosome_ECO:0000269;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriolar satellite_ECO:0000269;Cell projection,cilium_ECO:0000269;Cytoplasm,cytoskeleton,cilium basal body_ECO:0000269;Photoreceptor inner segment_ECO:0000269;Cell projection,cilium,photoreceptor outer segment_ECO:0000269",,"Cytoplasm,cytoskeleton,microtubule organizing center,centrosome;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriolar satellite;Cell projection,cilium;Cytoplasm,cytoskeleton,cilium basal body;Photoreceptor inner segment;Cell projection,cilium,photoreceptor outer segment",centrosome;centriolar satellite;cilium;cilium basal body;Photoreceptor inner segment;photoreceptor outer segment,GO:0005815;GO:0034451;GO:0005929;GO:0036064;GO:0001917;GO:0001750,GO:0034451;GO:0015630,Centriolar satellite;Microtubules
A2VDJ0,119,T131L_HUMAN,Transmembrane protein 131-like,Experimental evidence at protein level,Cell membrane;Cytoplasm,ECO:0000269;ECO:0000269,"43472,48443",Cell membrane_ECO:0000269;Cytoplasm_ECO:0000269,,Cell membrane;Cytoplasm,Cell membrane;Cytoplasm,GO:0005886;GO:0005737,GO:0005737;GO:0005886,Cytosol;Plasma membrane
A3KMH1,126,VWA8_HUMAN,von Willebrand factor A domain-containing protein 8,Experimental evidence at protein level,Mitochondrion,ECO:0000269,"39075,45478",Mitochondrion_ECO:0000269,,Mitochondrion,Mitochondrion,GO:0005739,GO:0005739,Mitochondria
A4D126,108,ISPD_HUMAN,D-ribitol-5-phosphate cytidylyltransferase,Experimental evidence at protein level,"Cytoplasm,cytosol",ECO:0000269,"43810,53554","Cytoplasm,cytosol_ECO:0000269",,"Cytoplasm,cytosol",cytosol,GO:0005829,GO:0005829,Cytosol
A4D1B5,106,GSAP_HUMAN,Gamma-secretase-activating protein,Experimental evidence at protein level,"Golgi apparatus,trans-Golgi network",ECO:0000269,"20058,23994,60016","Golgi apparatus,trans-Golgi network_ECO:0000269",,"Golgi apparatus,trans-Golgi network",trans-Golgi network,GO:0005794,GO:0005794,Golgi apparatus
A4D1E9,124,GTPBA_HUMAN,GTP-binding protein 10,Experimental evidence at protein level,"Nucleus,nucleolus;Chromosome",ECO:0000269;ECO:0000269,"20063,21076,61634","Nucleus,nucleolus_ECO:0000269;Chromosome_ECO:0000269",,"Nucleus,nucleolus;Chromosome",nucleolus;Chromosome,GO:0005730;GO:0005694,GO:0005730,Nucleoli
A4D1P6,126,WDR91_HUMAN,WD repeat-containing protein 91,Experimental evidence at protein level,Early endosome membrane;Late endosome membrane,ECO:0000269;ECO:0000269,"20059,24260,31520",Early endosome membrane_ECO:0000269;Late endosome membrane_ECO:0000269,,Early endosome membrane;Late endosome membrane,Early endosome membrane;Late endosome membrane,GO:0031901;GO:0031902,GO:0005768,Endosomes
A4D1T9,105,PRS37_HUMAN,Probable inactive serine protease 37,Experimental evidence at protein level,"Cytoplasmic vesicle,secretory vesicle,acrosome;Secreted",ECO:0000269;ECO:0000305,"20541,50751","Cytoplasmic vesicle,secretory vesicle,acrosome_ECO:0000269;Secreted_ECO:0000305",,"Cytoplasmic vesicle,secretory vesicle,acrosome",acrosome,GO:0001669,GO:0097708,Vesicles
A4D256,104,CC14C_HUMAN,Dual specificity protein phosphatase CDC14C,Experimental evidence at transcript level,Endoplasmic reticulum membrane,ECO:0000269,"13312,64747",Endoplasmic reticulum membrane_ECO:0000269,,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,GO:0005789,GO:0005783,Endoplasmic reticulum
A4D2B0,107,MBLC1_HUMAN,Metallo-beta-lactamase domain-containing protein 1,Experimental evidence at protein level,"Cytoplasm,cytosol;Nucleus",ECO:0000269;ECO:0000269,"62899,71574","Cytoplasm,cytosol_ECO:0000269;Nucleus_ECO:0000269",,"Cytoplasm,cytosol;Nucleus",cytosol;Nucleus,GO:0005829;GO:0005634,GO:0005634;GO:0005829,Cytosol;Nucleoplasm
A4UGR9,121,XIRP2_HUMAN,Xin actin-binding repeat-containing protein 2,Experimental evidence at protein level,Cell junction,ECO:0000269,"34812,34813,74599",Cell junction_ECO:0000269,,Cell junction,Cell junction,GO:0070161,GO:0030054,Cell Junctions
A5A3E0,123,POTEF_HUMAN,POTE ankyrin domain family member F,Experimental evidence at protein level,"Cytoplasm,cell cortex",ECO:0000269,"41264,41271,42822,43260","Cytoplasm,cell cortex_ECO:0000269",,"Cytoplasm,cell cortex",cell cortex,GO:0005938,GO:0005737,Cytosol
A5D8T8,123,CL18A_HUMAN,C-type lectin domain family 18 member A,Experimental evidence at protein level,Secreted;Endoplasmic reticulum;Golgi apparatus;Endosome,ECO:0000269;ECO:0000305;ECO:0000305;ECO:0000305,48976,Secreted_ECO:0000269;Endoplasmic reticulum_ECO:0000305;Golgi apparatus_ECO:0000305;Endosome_ECO:0000305,,Secreted,Secreted,GO:0005576,GO:0005737,Cytosol
A5D8V7,121,ODAD3_HUMAN,Outer dynein arm-docking complex subunit 3,Experimental evidence at protein level,"Cytoplasm,cytoskeleton,cilium basal body;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriole;Cytoplasm,cytoskeleton,cilium axoneme",ECO:0000250;ECO:0000250;ECO:0000269,"44184,54626","Cytoplasm,cytoskeleton,cilium basal body_ECO:0000250;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome,centriole_ECO:0000250;Cytoplasm,cytoskeleton,cilium axoneme_ECO:0000269",,"Cytoplasm,cytoskeleton,cilium axoneme",cilium axoneme,GO:0005930,GO:0005737,Cytosol
A5D8W1,122,CFA69_HUMAN,Cilia- and flagella-associated protein 69,Experimental evidence at protein level,"Cell projection,cilium;Cell projection,cilium,flagellum",ECO:0000250;ECO:0000269,62883,"Cell projection,cilium_ECO:0000250;Cell projection,cilium,flagellum_ECO:0000269",,"Cell projection,cilium,flagellum",flagellum,GO:0031514,,
A5PKW4,132,PSD1_HUMAN,PH and SEC7 domain-containing protein 1,Experimental evidence at protein level,"Cell membrane;Cell projection,ruffle membrane;Cleavage furrow",ECO:0000269;ECO:0000269;ECO:0000269,"59237,75144","Cell membrane_ECO:0000269;Cell projection,ruffle membrane_ECO:0000269;Cleavage furrow_ECO:0000269",,"Cell membrane;Cell projection,ruffle membrane;Cleavage furrow",Cell membrane;ruffle membrane;Cleavage furrow,GO:0005886;GO:0032587;GO:0032154,GO:0032154;GO:0005886,Plasma membrane;Cleavage furrow
A5PLL7,123,PDES1_HUMAN,Plasmanylethanolamine desaturase,Experimental evidence at protein level,Endoplasmic reticulum membrane,ECO:0000269,59549,Endoplasmic reticulum membrane_ECO:0000269,,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,GO:0005789,GO:0005783,Endoplasmic reticulum
A5X5Y0,134,5HT3E_HUMAN,5-hydroxytryptamine receptor 3E,Experimental evidence at protein level,Cell membrane,ECO:0000269,"49764,57671",Cell membrane_ECO:0000269,,Cell membrane,Cell membrane,GO:0005886,GO:0005886,Plasma membrane
A5YKK6,140,CNOT1_HUMAN,CCR4-NOT transcription complex subunit 1,Experimental evidence at protein level,"Cytoplasm,P-body;Nucleus",ECO:0000269;ECO:0000305,"29843,29844,29845,46577,49664,68542","Cytoplasm,P-body_ECO:0000269;Nucleus_ECO:0000305",,"Cytoplasm,P-body",P-body,GO:0000932,GO:0036464,Cytoplasmic bodies
A6BM72,122,MEG11_HUMAN,Multiple epidermal growth factor-like domains protein 11,Experimental evidence at protein level,Cell membrane;Basolateral cell membrane,ECO:0000269;ECO:0000269,"17982,76558",Cell membrane_ECO:0000269;Basolateral cell membrane_ECO:0000269,,Cell membrane;Basolateral cell membrane,Cell membrane;Basolateral cell membrane,GO:0005886;GO:0016323,GO:0005886,Plasma membrane
A6H8Y1,129,BDP1_HUMAN,Transcription factor TFIIIB component B'' homolog,Experimental evidence at protein level,Nucleus,ECO:0000269,"30952,30953,43140,49726,60048,64166,67956,74160,77984",Nucleus_ECO:0000269,,Nucleus,Nucleus,GO:0005634,GO:0005634,Nucleoplasm
A6NC51,104,T150B_HUMAN,Modulator of macroautophagy TMEM150B,Experimental evidence at transcript level,"Cell membrane;Endosome membrane;Cytoplasmic vesicle,autophagosome membrane",ECO:0000269;ECO:0000269;ECO:0000269,"45190,59728,60334,76767","Cell membrane_ECO:0000269;Endosome membrane_ECO:0000269;Cytoplasmic vesicle,autophagosome membrane_ECO:0000269",,"Cell membrane;Endosome membrane;Cytoplasmic vesicle,autophagosome membrane",Cell membrane;Endosome membrane;autophagosome membrane,GO:0005886;GO:0010008;GO:0000421,GO:0005768;GO:0043231;GO:0005886,Vesicles;Plasma membrane;Endosomes
A6NC98,120,CC88B_HUMAN,Coiled-coil domain-containing protein 88B,Experimental evidence at protein level,"Membrane;Cytoplasm,cytoskeleton,microtubule organizing center;Endoplasmic reticulum;Golgi apparatus;Cytoplasm",ECO:0000250;ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000269,"26652,76251","Membrane_ECO:0000250;Cytoplasm,cytoskeleton,microtubule organizing center_ECO:0000269;Endoplasmic reticulum_ECO:0000269;Golgi apparatus_ECO:0000269;Cytoplasm_ECO:0000269",,"Cytoplasm,cytoskeleton,microtubule organizing center;Endoplasmic reticulum;Golgi apparatus;Cytoplasm",microtubule organizing center;Endoplasmic reticulum;Golgi apparatus;Cytoplasm,GO:0005815;GO:0005783;GO:0005794;GO:0005737,GO:0005794;GO:0005737;GO:0005783;GO:0015630,Golgi apparatus;Cytosol;Endoplasmic reticulum;Microtubules
A6ND36,115,FA83G_HUMAN,Protein FAM83G,Experimental evidence at protein level,"Cytoplasm,cytosol;Nucleus",ECO:0000269;ECO:0000269,"23369,23940,75154","Cytoplasm,cytosol_ECO:0000269;Nucleus_ECO:0000269",,"Cytoplasm,cytosol;Nucleus",cytosol;Nucleus,GO:0005829;GO:0005634,GO:0005634;GO:0005829,Cytosol;Nucleoplasm
A6NDU8,103,RIMC1_HUMAN,RAB7A-interacting MON1-CCZ1 complex subunit 1,Experimental evidence at protein level,"Cytoplasm,cytosol",ECO:0000269,"43779,63816","Cytoplasm,cytosol_ECO:0000269",,"Cytoplasm,cytosol",cytosol,GO:0005829,GO:0005829,Cytosol
A6NDV4,119,TMM8B_HUMAN,Transmembrane protein 8B,Experimental evidence at protein level,Cell membrane;Cytoplasm;Nucleus;Mitochondrion;Endoplasmic reticulum,ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000269;ECO:0000269,"52130,62701",Cell membrane_ECO:0000269;Cytoplasm_ECO:0000269;Nucleus_ECO:0000269;Mitochondrion_ECO:0000269;Endoplasmic reticulum_ECO:0000269,,Cell membrane;Cytoplasm;Nucleus;Mitochondrion;Endoplasmic reticulum,Cell membrane;Cytoplasm;Nucleus;Mitochondrion;Endoplasmic reticulum,GO:0005886;GO:0005737;GO:0005634;GO:0005739;GO:0005783,GO:0005737;GO:0005739;GO:0005783;GO:0005886;GO:0005634,Cytosol;Nucleoplasm;Mitochondria;Plasma membrane;Endoplasmic reticulum
A6NED2,117,RCCD1_HUMAN,RCC1 domain-containing protein 1,Experimental evidence at protein level,Chromosome,ECO:0000269,"39683,40776",Chromosome_ECO:0000269,,Chromosome,Chromosome,GO:0005694,GO:0005783,Endoplasmic reticulum
A6NF83,83,NUPR2_HUMAN,Nuclear protein 2,Experimental evidence at transcript level,Nucleus,ECO:0000269,74139,Nucleus_ECO:0000269,,Nucleus,Nucleus,GO:0005634,GO:0005634,Nucleoplasm
A6NFA1,105,TIKI2_HUMAN,Metalloprotease TIKI2,Experimental evidence at protein level,Cell membrane,ECO:0000269,"45817,74725",Cell membrane_ECO:0000269,,Cell membrane,Cell membrane,GO:0005886,GO:0005886,Plasma membrane
A6NFN3,112,RFOX3_HUMAN,RNA binding protein fox-1 homolog 3,Experimental evidence at transcript level,Nucleus;Cytoplasm,ECO:0000269;ECO:0000269,"30790,67202,75862",Nucleus_ECO:0000269;Cytoplasm_ECO:0000269,,Nucleus;Cytoplasm,Nucleus;Cytoplasm,GO:0005634;GO:0005737,GO:0005737;GO:0005634,Cytosol;Nucleoplasm
A6NFQ2,125,TCAF2_HUMAN,TRPM8 channel-associated factor 2,Experimental evidence at protein level,Cell membrane,ECO:0000269,"38756,38758,45623",Cell membrane_ECO:0000269,,Cell membrane,Cell membrane,GO:0005886,GO:0005886,Plasma membrane
A6NFX1,94,MFS2B_HUMAN,Sphingosine-1-phosphate transporter MFSD2B,Experimental evidence at protein level,Cell membrane,ECO:0000269,"44145,54231",Cell membrane_ECO:0000269,,Cell membrane,Cell membrane,GO:0005886,GO:0005886,Plasma membrane
A6NGG8,109,PCARE_HUMAN,Photoreceptor cilium actin regulator,Experimental evidence at protein level,"Cell projection,cilium,photoreceptor outer segment;Photoreceptor inner segment",ECO:0000269;ECO:0000250,"51819,54740","Cell projection,cilium,photoreceptor outer segment_ECO:0000269;Photoreceptor inner segment_ECO:0000250",,"Cell projection,cilium,photoreceptor outer segment",photoreceptor outer segment,GO:0001750,GO:0005886,Plasma membrane
A6NGQ2,104,OOEP_HUMAN,Oocyte-expressed protein homolog,Experimental evidence at protein level,Cytoplasm;Nucleus,ECO:0000269;ECO:0000269,55165,Cytoplasm_ECO:0000269;Nucleus_ECO:0000269,,Cytoplasm;Nucleus,Cytoplasm;Nucleus,GO:0005737;GO:0005634,GO:0005737;GO:0005634,Cytosol;Nucleoplasm
A6NHR9,132,SMHD1_HUMAN,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,Experimental evidence at protein level,Chromosome,ECO:0000269,"39341,39441,40324",Chromosome_ECO:0000269,,Chromosome,Chromosome,GO:0005694,GO:0005634,Nucleoplasm
A6NHX0,103,CAST2_HUMAN,Cytosolic arginine sensor for mTORC1 subunit 2,Experimental evidence at protein level,"Cytoplasm,cytosol",ECO:0000269,"57229,62735","Cytoplasm,cytosol_ECO:0000269",,"Cytoplasm,cytosol",cytosol,GO:0005829,GO:0005829,Cytosol
A6NI79,109,CCD69_HUMAN,Coiled-coil domain-containing protein 69,Experimental evidence at protein level,"Cytoplasm,cytoskeleton,spindle;Midbody",ECO:0000269;ECO:0000269,"43648,52896","Cytoplasm,cytoskeleton,spindle_ECO:0000269;Midbody_ECO:0000269",,"Cytoplasm,cytoskeleton,spindle;Midbody",spindle;Midbody,GO:0005819;GO:0030496,GO:0030496;GO:0015630,Microtubules;Midbody
A6NIH7,122,U119B_HUMAN,Protein unc-119 homolog B,Experimental evidence at protein level,"Cell projection,cilium",ECO:0000269,"71816,71921,77812,77816","Cell projection,cilium_ECO:0000269",,"Cell projection,cilium",cilium,GO:0005929,GO:0030496,Midbody
A6NJ78,123,MET15_HUMAN,12S rRNA N4-methylcytidine (m4C) methyltransferase,Experimental evidence at protein level,Mitochondrion matrix,ECO:0000269,"39885,40289,46195,48994,75106",Mitochondrion matrix_ECO:0000269,,Mitochondrion matrix,Mitochondrion matrix,GO:0005759,GO:0005739,Mitochondria
A6NK58,113,LIPT2_HUMAN,"Putative lipoyltransferase 2, mitochondrial",Experimental evidence at protein level,Mitochondrion,ECO:0000269,40249,Mitochondrion_ECO:0000269,,Mitochondrion,Mitochondrion,GO:0005739,GO:0005739,Mitochondria
A6NK89,102,RASFA_HUMAN,Ras association domain-containing protein 10,Experimental evidence at protein level,"Cytoplasm,cytosol;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome;Cytoplasm,cytoskeleton,spindle pole",ECO:0000269;ECO:0000269;ECO:0000269,"40406,40877","Cytoplasm,cytosol_ECO:0000269;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome_ECO:0000269;Cytoplasm,cytoskeleton,spindle pole_ECO:0000269",,"Cytoplasm,cytosol;Cytoplasm,cytoskeleton,microtubule organizing center,centrosome;Cytoplasm,cytoskeleton,spindle pole",cytosol;centrosome;spindle pole,GO:0005829;GO:0005815;GO:0000922,GO:0015630;GO:0005829,Cytosol;Microtubules
A6NKD9,112,CC85C_HUMAN,Coiled-coil domain-containing protein 85C,Experimental evidence at protein level,"Cell junction,tight junction;Cell junction,adherens junction",ECO:0000250;ECO:0000269,"58346,61922","Cell junction,tight junction_ECO:0000250;Cell junction,adherens junction_ECO:0000269",,"Cell junction,adherens junction",adherens junction,GO:0005912,GO:0030054,Cell Junctions
A6NLJ0,100,C2C4B_HUMAN,C2 calcium-dependent domain-containing protein 4B,Experimental evidence at transcript level,Nucleus,ECO:0000269,46880,Nucleus_ECO:0000269,,Nucleus,Nucleus,GO:0005634,GO:0005634,Nucleoplasm
A6NMN3,86,F170B_HUMAN,Protein FAM170B,Experimental evidence at protein level,"Cytoplasmic vesicle,secretory vesicle,acrosome;Cytoplasmic vesicle,secretory vesicle,acrosome outer membrane",ECO:0000269;ECO:0000250,"43899,50610","Cytoplasmic vesicle,secretory vesicle,acrosome_ECO:0000269;Cytoplasmic vesicle,secretory vesicle,acrosome outer membrane_ECO:0000250",,"Cytoplasmic vesicle,secretory vesicle,acrosome",acrosome,GO:0001669,GO:0097708,Vesicles
A6NNB3,102,IFM5_HUMAN,Interferon-induced transmembrane protein 5,Experimental evidence at protein level,Cell membrane,ECO:0000269,"39258,57624",Cell membrane_ECO:0000269,,Cell membrane,Cell membrane,GO:0005886,GO:0005886,Plasma membrane
A6NND4,122,O2AT4_HUMAN,Olfactory receptor 2AT4,Experimental evidence at protein level,Cell membrane,ECO:0000269,"49253,60357",Cell membrane_ECO:0000269,,Cell membrane,Cell membrane,GO:0005886,GO:0005886,Plasma membrane
A7E2U8,96,CD047_HUMAN,UPF0602 protein C4orf47,Experimental evidence at transcript level,"Cytoplasm,cytoskeleton,microtubule organizing center,centrosome",ECO:0000269,"43662,63485","Cytoplasm,cytoskeleton,microtubule organizing center,centrosome_ECO:0000269",,"Cytoplasm,cytoskeleton,microtubule organizing center,centrosome",centrosome,GO:0005815,GO:0015630,Microtubules
A7E2Y1,126,MYH7B_HUMAN,Myosin-7B,Experimental evidence at protein level,Membrane,ECO:0000269,"47091,52679,56262,64516",Membrane_ECO:0000269,,Membrane,Membrane,GO:0016020,GO:0015630,Microtubules
